Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Computer programming,Programming languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Primary language,projectName
6644c8f7454870b7976a312f,5ee3c9a7236bef095fd67d0e,APPROVED,Not Applicable,2024-05-15T14:38:47.212000Z,2024-05-15T14:49:49.271000Z,2024-05-16T01:42:35.150000Z,2024-05-15T14:49:49.991791Z,663.0,C8MRP57T,280,Yes,"HTML, Javascript, CSS",25,Female,Mixed,Mexico,Mexico,Mexico,Spanish,No,Full-Time,"Spanish, English",online-easy_ransom_notes-without-b3
6637efd29c755fdf10a66d2c,661747a10840d7553533cda1,APPROVED,Not Applicable,2024-05-05T20:45:26.407000Z,2024-05-05T21:00:23.429000Z,2024-05-14T09:40:22.779000Z,2024-05-05T21:00:32.436093Z,898.0,C8MRP57T,29,Yes,"C and C++, CSS, Javascript, HTML, Python, SQL",21,Male,Asian,Canada,Canada,Canada,English,Yes,Part-Time,English,online-easy_remove_duplicates-with-b2
6637f14ae09086adcc9324e1,5c3872541736360001471ca0,APPROVED,Not Applicable,2024-05-05T20:51:27.705000Z,2024-05-05T21:00:53.283000Z,2024-05-14T09:40:23.112000Z,2024-05-05T21:00:53.892744Z,566.0,C8MRP57T,540,Yes,"Java, Javascript, HTML, PHP, CSS, C and C++, C#, SQL, Python",27,Male,White,Italy,Italy,Italy,Italian,DATA_EXPIRED,DATA_EXPIRED,"Italian, English",online-easy_remove_duplicates-with-b2
6637f1a9eba3279ca443ba1f,60be6b60d4a12f2ce4c806f2,APPROVED,Not Applicable,2024-05-05T20:52:57.637000Z,2024-05-05T21:07:42.240000Z,2024-05-14T09:40:23.340000Z,2024-05-06T10:37:37.182652Z,885.0,C8MRP57T,512,Yes,"CSS, C and C++, Javascript, HTML",26,Male,White,Spain,Spain,Spain,Spanish,No,Unemployed (and job seeking),"Spanish, English",online-easy_remove_duplicates-with-b2
6637f21c21cf3df45e722d4c,66269e82eb93d0ae74c5d344,APPROVED,Not Applicable,2024-05-05T20:55:09.060000Z,2024-05-05T21:10:01.174000Z,2024-05-14T09:40:23.564000Z,2024-05-05T21:11:50.216809Z,893.0,C8MRP57T,10,Yes,"Python, Javascript, C and C++",19,Male,White,France,France,Algeria,French,Yes,Other,"French, English",online-easy_remove_duplicates-with-b2
663bd3fd8a2df774396dc828,5cabf58293e29a0016018c30,APPROVED,Not Applicable,2024-05-08T19:35:25.971000Z,2024-05-08T20:08:11.764000Z,2024-05-14T09:40:23.757000Z,2024-05-08T20:08:12.551802Z,1966.0,C8MRP57T,994,Yes,"C and C++, Javascript",36,Male,White,Russian Federation,Spain,Spain,Russian,No,Full-Time,"English, Russian, Spanish",online-easy_remove_duplicates-with-b2
663bd4008ba8335795082925,6558c7f10f613d860aab3125,APPROVED,Not Applicable,2024-05-08T19:35:28.129000Z,2024-05-08T20:17:51.109000Z,2024-05-14T09:40:23.981000Z,2024-05-08T20:17:51.839366Z,2543.0,C8MRP57T,68,Yes,"HTML, Javascript, Java, CSS, Python",31,Female,Black,South Africa,South Africa,South Africa,Other,Yes,Full-Time,English,online-easy_remove_duplicates-with-b2
663bd402cd9edbdfb014d5cb,6016bbe3a28c6014fd3236b8,APPROVED,Not Applicable,2024-05-08T19:35:40.950000Z,2024-05-08T19:54:25.777000Z,2024-05-14T09:40:24.237000Z,2024-05-08T19:56:06.937180Z,1125.0,C8MRP57T,568,Yes,"C and C++, Go, Javascript, CSS, HTML, Python, SQL, TypeScript",25,Male,Mixed,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking),"Afrikaans, English",online-easy_remove_duplicates-with-b2
663bd6c19912a69838ec5718,611d1b663a5c2ab412850a1c,APPROVED,Not Applicable,2024-05-08T19:47:50.752000Z,2024-05-08T20:06:09.928000Z,2024-05-14T09:40:24.444000Z,2024-05-08T20:06:10.534839Z,1100.0,C8MRP57T,246,Yes,"Javascript, Java, TypeScript, Swift",27,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking),English,online-easy_remove_duplicates-with-b2
66430c125d33b064c835d52d,616ae04c674bd9a88c6ebed0,APPROVED,Not Applicable,2024-05-14T07:00:40.987000Z,2024-05-14T07:48:54.146000Z,2024-05-14T09:40:24.723000Z,2024-05-14T07:48:55.073566Z,2894.0,C8MRP57T,155,Yes,"Java, Javascript, HTML, Kotlin, PHP, Python",45,Male,Black,Zambia,South Africa,South Africa,English,No,Full-Time,"English, French, Spanish",online-easy_remove_duplicates-with-b2
664392825a2aafe59bfd4036,5c3d5129a9bfb4000168e299,APPROVED,Not Applicable,2024-05-14T16:34:25.610000Z,2024-05-14T16:53:56.744000Z,2024-05-14T17:00:33.441000Z,2024-05-14T16:53:58.731211Z,1172.0,C8MRP57T,302,Yes,"C#, C and C++, CSS, Java, Javascript, HTML, PHP, Python, SQL, TypeScript",24,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,English,online-easy_remove_duplicates-with-b2
6644c725d24370bec6a6e4cc,610188d5ae3b8a7623ef58c4,APPROVED,Not Applicable,2024-05-15T14:31:09.228000Z,2024-05-15T14:46:25.354000Z,2024-05-16T01:48:15.616000Z,2024-05-15T14:46:26.157304Z,917.0,C8MRP57T,168,Yes,"C#, CSS, Javascript, HTML",36,Male,Black,Zimbabwe,South Africa,Zimbabwe,English,Yes,Unemployed (and job seeking),English,online-easy_remove_duplicates-with-b3
6644c85566d2e1cbb8775192,614e82d5717d691f24efffc0,APPROVED,Not Applicable,2024-05-15T14:36:05.973000Z,2024-05-15T14:45:02.640000Z,2024-05-16T01:48:16.270000Z,2024-05-15T14:45:03.141993Z,537.0,C8MRP57T,849,Yes,"C and C++, Javascript, Matlab, Python, CSS, HTML",34,Male,Asian,Bangladesh,Hungary,Bangladesh,Bengali,Yes,Full-Time,"Bengali, English",online-easy_remove_duplicates-with-b3
